supplier,supplier_clean,diff
Александрова Светлана Викторовна,aleksandrova svetlana viktorovna,0.58
АЛЕКСЕЕВ АЛЕКСАНДР НИКОЛАЕВИЧ,alekseev aleksandr nikolaevič,0.49
Алексеев Анатолий Дмитриевич,alekseev anatoliй dmitrievič,0.60
Алексеева Лариса Юрьевна,alekseeva larisa юrьevna,0.54
"ООО ""АЛЕКСЕЕВСКАЯ ФХТ""",alekseevskaя fht,0.55
"ООО ""АЛЕРД""",alerd,0.29
"ООО ""АЛЕСТА""",alesta,0.55
Alexander Zoz,alexander zoz,0.42
Alexandre Barbosa Borges S.A,alexandre barbosa borges,0.54
"Alexandre Gabriel Quintas, Unipessoal Lda","alexandre gabriel quintas, unipessoal",0.43
"Alexandre José da Silva Figueiredo, Unipessoal Lda","alexandre josé da silva figueiredo, unipessoal",0.55
"Alexandre Loureiro Ferreira, Unipessoal Lda","alexandre loureiro ferreira, unipessoal",0.66
Aleš Irgolič,aleš irgolič,0.31
ALFA farm s.r.o.,alfa farm,0.38
Alfa Lisbon - Gestão de Processos de Expedição Lda,alfa lisbon - gestão de processos de expedição,0.22
ALFA MED,alfa med,0.26
"ALFAGENE, LDA",alfagene,0.63
"Alfasigma Portugal, Lda",alfasigma portugal,0.38
Alfraphar - Equipamentos e Produtos Farmacêuticos Lda,alfraphar - equipamentos e produtos farmacêuticos,0.30
"Alfrarent-Imobiliária e Serviços, S.A",alfrarent-imobiliária e serviços,0.40
Alfred Eremit GmbH,alfred eremit,0.40
Alfred Eremit Gesellschaft m. b. H.,alfred eremit gesellschaft m. b. h,0.55
"ООО ""АЛГА ДЕВЕЛОПМЕНТ""",alga development,0.28
Algardata - Sistemas Informáticos S.A,algardata - sistemas informáticos,0.24
"Algarelevo II, Lda",algarelevo ii,0.39
"Algarsoluções - Comércio de Tintas e Ferramentas, Unipessoal...","algarsoluções - comércio de tintas e ferramentas, unipessoal",0.30
Algeco - Construções Pré-Fabricadas S.A,algeco - construções pré-fabricadas,0.32
"Alghlimpa - Prestação de Serviços de Limpeza de Edifícios, C...","alghlimpa - prestação de serviços de limpeza de edifícios, c",0.19
"UAB ""Algistata""",algistata,0.23
"UAB ""Algrima""",algrima,0.63
"Ali100H2O Indústria e Comércio Import & Export, Lda",ali100h2o indústria e comércio import & export,0.19
Alidata - Soluções Informáticas Lda,alidata - soluções informáticas,0.26
Алиев Умар Борисович,aliev umar borisovič,0.35
Алиев Яшар Али Оглы,aliev яšar ali oglы,0.56
Alifax srl,alifax,0.32
"Alifax Spain, S. L.",alifax,0.67
АЛИКАЕВА ЭЛЬВИРА ИВАНОВНА,alikaeva эlьvira ivanovna,0.38
Аликин Иван Евгеньевич,alikin ivan evgenьevič,0.51
"ООО ""АЛИОН""",alion,0.30
"ООО ""АЛИОТ""",aliot,0.80
Alipio & Simões Lda,alipio & simões,0.40
"Aljajara, S. L.",aljajara,0.17
"Aljcafé-Actividades Hoteleiras, Lda",aljcafé-actividades hoteleiras,0.37
АЛКАЕВ ВИКТОР ДМИТРИЕВИЧ,alkaev viktor dmitrievič,0.26
Alkaloid Berovo,alkaloid berovo,0.41
АЛКИЕВ ВИТАЛИЙ,alkiev vitaliй,0.41
"All Buy 4 Africa International Trading, Unipessoal Lda","all buy 4 africa international trading, unipessoal",0.25
ALL FOODS DISTRIBUTIE,all foods distributie,0.28
"Allclima - Climatizações, Unipessoal, Lda","allclima - climatizações, unipessoal",0.28
"ALLEGRO Kereskedelmi, Kivitelező és Szolgáltató Korlátolt Felelősségű Társaság","allegro kereskedelmi, kivitelező és szolgáltató korlátolt felelősségű társaság",0.23
Alliance Healthcare s.r.o.,alliance healthcare,0.23
"Alliance Healthcare, S.A",alliance healthcare,1.00
ALLIANCE HEALTHCARE ROMANIA,alliance healthcare,0.83
Alliance Pharmaceuticals Ltd,alliance pharmaceuticals ltd,0.58
"ALLIVA, spol. s r.o.","alliva, spol. s r.o",0.43
"Alloga Logifarma, S.A",alloga logifarma,0.34
Allwag Promotions Ltd,allwag promotions ltd,0.32
АЛЛЯМЕЕВА ЛИЗА ФАРИДОВНА,allяmeeva liza faridovna,0.31
ALM Halbout,alm halbout,0.34
"ООО ""АЛМА""",alma,0.53
"ООО ""АЛМА МЕДИКА""",alma medika,0.53
"Almacenes Campanario, S. L.",almacenes campanario,0.39
ALMACENES DELCA SA,almacenes delca,0.69
"Almacén y Suministros para la Industria y Automoción, S. L.",almacén y suministros para la industria y automoción,0.27
Almapapel - Comércio de Produtos de Higiene Lda,almapapel - comércio de produtos de higiene,0.32
"Almeida, Soares, Parreira & Paiva Lda","almeida, soares, parreira & paiva",0.34
"ООО ""АЛМЕТ""",almet,0.21
"ООО ""АЛМИНА""",almina,0.55
Alonso Vázquez García,alonso vázquez garcía,0.30
ALPHA BRIO MEDICAL S.R.L.,alpha brio medical,0.36
ALPHA MEDICAL S.R.L.,alpha medical,0.84
Alpha Medical,alpha medical,1.00
Alpha Ned 2000 Exim,alpha ned 2000 exim,0.56
ALPHA SHOT SRL,alpha shot,0.41
Alpha Solway,alpha solway,0.73
"Alpha Solway Ltd,",alpha solway,0.86
Alpha Solway Ltd,alpha solway,1.00
"Alpia2 - New Concept, Limitada","alpia2 - new concept, limitada",0.43
ALPIN-C SRL,alpin-c,0.32
Alpine Flightservice GmbH,alpine flightservice,0.44
"Alquisagar, S. L.",alquisagar,0.33
Alsco Berufskleidungs-Service GmbH,alsco berufskleidungs-service,0.21
"Altamed Tecnología, S. L.",altamed tecnología,0.26
ALTAN PHARMACEUTICALS SAU,altan pharmaceuticals sau,0.28
"ООО ""АЛТАРИМ""",altarim,0.38
"Altaroda, S.A",altaroda,0.67
"ООО ""АЛТАЙ МЕД СЕРВИС""",altaй med servis,0.42
"ООО ""АЛТАЙСКИЙ ТРИКОТАЖ""",altaйskiй trikotaž,0.41
"ООО ""АЛТАЙВИТАМИНЫ ТРЕЙДИНГ""",altaйvitaminы treйding,0.50
Altek Médical,altek médical,0.34
"Alter Solutions Portugal, Lda",alter solutions portugal,0.43
"ООО ""АЛТЕРРА""",alterra,0.45
"ООО ""АЛТЕЙ""",alteй,0.67
ALTHEA ITALIA SPA,althea italia spa,0.36
"Althea Portugal - Gestão Integrada de Tecnologia de Saúde, L...","althea portugal - gestão integrada de tecnologia de saúde, l",0.39
"ALTHENIA, S.A.",althenia,0.24
"Altice Portugal, S.A",altice portugal,0.43
"Altiprotec, Lda",altiprotec,0.56
Alto Products Im- und Export GmbH,alto products im- und export,0.37
altona Diagnostics GmbH,altona diagnostics,0.35
"Altran Innovación, S. L.",altran innovación,0.51
"Altranportugal, S.A",altranportugal,0.52
ALTREVA spol. s r.o.,altreva spol. s r.o,0.48
"Altte, Lda",altte,0.33
"Alugal, Lda",alugal,0.36
Alugoclima - Aluguer de Ar-Condicionado Lda,alugoclima - aluguer de ar-condicionado,0.27
"Aluminios y Ferrallas Gardel, S. L.",aluminios y ferrallas gardel,0.27
"Alumipax, Alumínios Lda","alumipax, alumínios",0.38
"Alumínios Amaral & Fonseca, Lda",alumínios amaral & fonseca,0.40
"Alupe, Lda",alupe,0.26
Alvarsol-Sociedade de Lavandarias do Algarve Lda,alvarsol-sociedade de lavandarias do algarve,0.12
Alves & Ca (Irmãos) Lda,alves & ca (irmãos),0.29
"ООО ""АЛВИТФАРМ""",alvitfarm,0.43
"Alvospot, Lda",alvospot,0.47
Alza.cz a.s.,alza.cz,0.27
"Alza.cz, a.s.",alza.cz,1.00
"Alzicunha, Lda",alzicunha,0.50
"Além Mundo, S.A",além mundo,0.42
"ООО ""АЛЬДАНИ""",alьdani,0.35
"ООО ""АЛЬФА""",alьfa,0.67
"ООО ""АЛЬФА ИНДАСТРИС ПОВОЛЖЬЕ""",alьfa indastris povolžьe,0.34
"ООО ""АЛЬФА МЕДИКАЛ""",alьfa medikal,0.38
"ООО ""АЛЬФА ТРЕЙД""",alьfa treйd,0.67
"ООО ""АЛЬФАХОСТ""",alьfahost,0.60
"ООО ""АЛЬФАМЕД""",alьfamed,0.59
"ООО ""АЛЬФА-МЕД""",alьfamed,1.00
"ООО ""АЛЬФАМЕДСЕРВИС""",alьfamedservis,0.73
"ООО ""АЛЬФАМЕДТЕХТОРГ""",alьfamedtehtorg,0.69
"ООО ""АЛЬФАМЕДТОРГ""",alьfamedtorg,0.89
"ООО ""АЛЬФАМЕДЭКС""",alьfamedэks,0.70
"ООО ""АЛЬФАСТРОЙ""",alьfastroй,0.57
"ООО ""АЛЬХОН""",alьhon,0.50
"ООО ""АЛЬКАД ВОСТОК""",alьkad vostok,0.42
"ООО ""АЛЬТА""",alьta,0.44
"ООО ""АЛЬТАИР-К""",alьtair-k,0.71
"ООО ""АЛЬТАКО""",alьtako,0.75
"ООО ""АЛЬТЕРНАТИВА""",alьternativa,0.53
"ООО ""АЛЬЯНС""",alьяns,0.44
"ООО ""АЛЬЯНС ГРУПП""",alьяns grupp,0.67
"ООО ""АЛЬЯНС МЕД""",alьяns med,0.64
"ООО ""АЛЬЯНС МЕДИКАЛ""",alьяns medikal,0.83
"ООО ""АЛЬЯНС СЕРВИС""",alьяns servis,0.67
"ООО ""АЛЬЯНС-СЕРВИС""",alьяns servis,1.00
"ООО ""АЛЬЯНС-ЮГ""",alьяns-юg,0.55
"ООО ""АЛЬЯНСМЕДСЕРВИС""",alьяnsmedservis,0.50
"ООО ""АЛЬЯНСМЕДСНАБ""",alьяnsmedsnab,0.71
"ООО ""АЛЮР""",alюr,0.24
"Amadeu Pereira Cardoso, Sociedade Unipessoal Lda","amadeu pereira cardoso, sociedade unipessoal",0.08
Amado & Filipe Lda,amado & filipe,0.34
"Aman - Indústria De Publicidade, Lda",aman - indústria de publicidade,0.40
Amanhecer-Papelaria e Livraria Lda,amanhecer-papelaria e livraria,0.46
AMANI SWISS (CYPRUS) LIMITED,amani swiss (cyprus) limited,0.34
Amanzi Utilities Limited,amanzi utilities limited,0.62
"ООО ""АМАРАНТ""",amarant,0.32
Amazing Fiction - Unipessoal Lda,amazing fiction - unipessoal,0.29
Amazon Services Europe S.à r.l.,amazon services europe s.à r.l,0.41
Amb & Cold - Climatização e Refrigeração Lda,amb & cold - climatização e refrigeração,0.23
"Ambargris - Brindes Publicitários, Unipessoal Lda","ambargris - brindes publicitários, unipessoal",0.26
Amber spol. s s. o.,"amber, spol. s r.o.",0.29
"AMBER, spol. s r.o.","amber, spol. s r.o.",0.59
"Innocent Store, s.r.o.",innocent store,
UAB „AmberCell Solution“,ambercell solutions,0.36
UAB „AmberCell Solutions“,ambercell solutions,1.00
UAB „AmberCell Solutions“ (senas pav. UAB „AE Medical“),ambercell solutions,0.58
"AmberCell Solutions, UAB",ambercell solutions,0.65
"Ambex, Equipamentos, Lda","ambex, equipamentos",0.37
"ООО ""АМБХ""",ambh,0.26
"Ambiente & Jardim II - Multiservices, S.A",ambiente & jardim ii - multiservices,0.15
"Ambienti D'interni, Unipessoal Lda","ambienti dinterni, unipessoal",0.46
"Ambifood , Lda",ambifood,0.27
"Ambimed - Gestão Ambiental, Limitada","ambimed - gestão ambiental, limitada",0.23
"Ambipar Control - Consultoria, Análises e Amostragem Ambient...","ambipar control - consultoria, análises e amostragem ambient",0.38
"Ambipombal - Recolha de Resíduos Industriais , S.A",ambipombal - recolha de resíduos industriais,0.42
Ambirent - Aluguer de Equipamentos Industriais e de Limpeza...,ambirent - aluguer de equipamentos industriais e de limpeza,0.54
"Ambitrevo - Soluções Agrícolas e Ambientais, Lda",ambitrevo - soluções agrícolas e ambientais,0.39
Ambm - Associação de Municípios do Baixo Mondego,ambm - associação de municípios do baixo mondego,0.33
Ambu SARL,ambu sarl,0.21
AMCOR,amcor,0.43
Amcor,amcor,1.00
"ООО ""АМД""",amd,0.50
"Amebil, S. L.",amebil,0.44
"ООО ""АМЕД""",amed,0.60
"ООО ""АМЕГА""",amega,0.67
UAB „Ameita“,ameita,0.73
AMELICRIS SRL,amelicris,0.53
"Amenworld - Serviços Internet, Sociedade Unipessoal Lda","amenworld - serviços internet, sociedade unipessoal",0.17
"Americana - Papelaria, S.A",americana - papelaria,0.31
"ООО ""АМЕТИСТ""",ametist,0.29
AMEVISA SA,amevisa,0.71
"ООО ""АМФОДЕНТ ТРЕЙД""",amfodent treйd,0.29
"ООО ""АМГ""",amg,0.24
"ООО ""АМГ-ПРОЕКТ""",amg-proekt,0.46
Amgen-Bio-Farmacêutica Lda,amgen-bio-farmacêutica,0.31
UAB „AMI sprendimai“,ami sprendimai,0.44
"Amiave, Lda",amiave,0.40
Аминов Олег Евгеньевич,aminov oleg evgenьevič,0.36
АМИРХАНОВА ГУЛЬЧАЧАК ФАРИТОВНА,amirhanova gulьčačak faritovna,0.38
АМИРОВ РУСТАМ РАШИТОВИЧ,amirov rustam rašitovič,0.45
"Amivatio, Lda",amivatio,0.45
"ООО ""АМК""",amk,0.36
"ООО ""АМК АЛЬЯНС""",amk alьяns,0.46
AMK Hardware,amk hardware,0.45
"Amma 1981 - Têxtil, S.A",amma 1981 - têxtil,0.20
"ООО ""АМП""",amp,0.19
"Amper Holding, a.s.",amper holding,0.38
"ООО ""АМПЛИПУЛЬС""",amplipulьs,0.43
"AMRA FARMA XXI, SL",amra farma xxi,0.25
"AMS MEDING d.o.o., trgovina-inženiring","ams meding d.o.o., trgovina-inženiring",0.19
AMS Services SASU Panighi Panitalacci,ams services sasu panighi panitalacci,0.32
"ООО ""АМС-МЕД""",ams-med,0.18
"ООО ""АМТ""",amt,0.40
"ООО ""АМУР МЕДИКАЛ""",amur medikal,0.27
"ООО ""АМУРДИАГНОСТИКА""",amurdiagnostika,0.59
"ООО ""АМУРХИМЛАБ""",amurhimlab,0.48
"ООО ""АМВ""",amv,0.31
"ООО ""АМВ-ГРУПП""",amv-grupp,0.50
Américo Alves - Comércio Internacional S.A,américo alves - comércio internacional,0.13
"ООО ""АН-МЕД""",an-med,0.14
Ana Patricia Cascante Hierro,ana patricia cascante hierro,0.18
"Anacleto Cardoso Cação, Unipessoal Lda","anacleto cardoso cação, unipessoal",0.35
"Anaditel, Telecomunicações e Inovações, Lda","anaditel, telecomunicações e inovações",0.36
Anais France,anais france,0.32
"ООО ""АНАЛИТИКА-ОМСК""",analitika-omsk,0.38
"ООО ""АНАЛИТИКА-УРАЛ""",analitika-ural,0.71
Anamed Kft.,anamed kft,0.33
"ООО ""АНАС""",anas,0.43
"Anastácio Saldanha, Unipessoal Lda","anastácio saldanha, unipessoal",0.24
Anatomage Inc,anatomage inc,0.33
Ancotec-Sistem SRL,ancotec-sistem,0.22
Andrade & Andrade Lda,andrade & andrade,0.26
"Andrade & Gonçalves, Comércio e Serviços Farmacêuticos Lda...","andrade & gonçalves, comércio e serviços farmacêuticos",0.37
Андреев Андрей Валерьевич,andreev andreй valerьevič,0.33
Андреев Иван Львович,andreev ivan lьvovič,0.67
Андреева Анастасия Сергеевна,andreeva anastasiя sergeevna,0.46
Андреева Елена Николаевна,andreeva elena nikolaevna,0.60
АНДРЕЕВА НАДЕЖДА ВАЛЕНТИНОВНА,andreeva nadežda valentinovna,0.67
Андреева Валентина Андреевна,andreeva valentina andreevna,0.70
Andretea a.s.,andretea,0.44
"UAB ""ANDRIKUS""",andrikus,0.50
"ООО ""АНДРОМЕД""",andromeda,0.47
"ООО ""АНДРОМЕДА""",andromeda,1.00
АНДРОЩУК ЕЙМІ ОЛЕГІВНА,androщuk eйmі olegіvna,0.45
"Andréa Couceiro, Sociedade Unipessoal Lda","andréa couceiro, sociedade unipessoal",0.17
Anedita Grup SRL,anedita grup,0.24
"ООО ""АНГАРСКАЯ МЕДИЦИНСКАЯ КОМПАНИЯ""",angarskaя medicinskaя kompaniя,0.38
"Angel Dominguez Ruiz, S. L.",angel dominguez ruiz,0.32
"Ángel Domínguez Ruíz, S.L.",angel dominguez ruiz,1.00
Angelincentive - Unipessoal Lda,angelincentive - unipessoal,0.38
"ANGELINI FARMACÊUTICA, LDA.",angelini farmacêutica,0.46
"ООО ""АНГИОКОР""",angiokor,0.34
"Angrasol - Hotelaria, Turismo e Comércio, S.A","angrasol - hotelaria, turismo e comércio",0.21
ANGROSET SRL,angroset,0.29
Аникин Павел Владимирович,anikin pavel vladimirovič,0.24
"ООО ""АНИКС-ФАРМ""",aniks-farm,0.34
"ООО ""АНИМАРТ""",animart,0.59
ANINOASA - TIM S.R.L.,aninoasa - tim,0.48
"ООО ""АНИСЕПТ""",anisept,0.48
Anitente Lda,anitente,0.53
Anitex - Larbrinca Importação Exportação S.A,anitex - larbrinca importação exportação,0.33
"ООО ""АНКОМ""",ankom,0.13
"ООО ""АНКОР ТД""",ankor td,0.62
"ООО ""АНЛИМ-ТРЕЙД""",anlim-treйd,0.42
"UAB ""ANMEDA TECHNA""",anmeda techna,0.42
"АНО ДО ""ДЕТСКИЙ ТЕХНОПАРК ""КВАНТОРИУМ""",ano do detskiй tehnopark kvantorium,0.38
"Anorac, spol. s.r.o.","anorac, spol",0.26
"anorac, spol. s r.o.","anorac, spol. s r.o",0.77
"Anos D'aventura, Lda",anos daventura,0.36
Ansell GmbH,ansell,0.40
Ansell Healthcare Europe SA/NV,ansell healthcare europe sa/nv,0.33
Ansub - Associação De Produtores Florestais Do Vale Do Sado,ansub - associação de produtores florestais do vale do sado,0.34
"Answerdreams - Unipessoal, Lda",answerdreams - unipessoal,0.26
Antena Mirobriga-Cooperativa de Serviços Crl,antena mirobriga-cooperativa de serviços crl,0.26
Antero Alves Lda,antero alves,0.29
Antero Coutinho Lda,antero coutinho,0.52
Antero Lopes Lda,antero lopes,0.59
ANTI-SEL (AFOI SELIDES),anti-sel (afoi selides),0.46
Anticiclone - Instalações Técnicas Lda,anticiclone - instalações técnicas,0.32
Anticimex Portugal Lda,anticimex portugal,0.42
АНТИПИН ДАНИЛ ВЛАДИМИРОВИЧ,antipin danil vladimirovič,0.32
Антипина Светлана Евгеньевна,antipina svetlana evgenьevna,0.48
Антипов Сергей Геннадьевич,antipov sergeй gennadьevič,0.56
Antisel RO S.R.L.,antisel ro,0.39
Antiseptica chemisch-pharmazeutische Produkte GmbH,antiseptica chemisch-pharmazeutische produkte,0.33
Antonio Ezequiel Lda,antonio ezequiel,0.36
"Antonio Gaspar de Sousa, Herdeiros Lda","antonio gaspar de sousa, herdeiros",0.44
Antonio Julio Martins e Ca Lda,antonio julio martins e ca,0.47
Antonio Marques & Filhos Lda,antonio marques & filhos,0.56
", ANTONIO MATACHANA SA",antonio matachana,0.54
"Antonio Matachana, S. A.",antonio matachana,1.00
"Antonio Moron de Blas, S. L.",antonio moron de blas,0.58
"Antonio Moron de Blas, S.L.",antonio moron de blas,1.00
ANTONIO PUIG SA,antonio puig,0.48
"Antonio Puig, S.A.",antonio puig,1.00
"Antonio Rodrigues Caetano, Herdeiros Lda","antonio rodrigues caetano, herdeiros",0.42
Antonio Rodrigues Mota & Filhos Lda,antonio rodrigues mota & filhos,0.72
Антонишин Роман Олегович,antonišin roman olegovič,0.47
Антонов Антон Владимирович,antonov anton vladimirovič,0.56
Антонова Жанна Николаевна,antonova žanna nikolaevna,0.59
"Antão Medical - Equipamentos Médico-Cirúrgicos, Lda",antão medical - equipamentos médico-cirúrgicos,0.20
"António Carvalho Ferreira Carlos - Armazém De Mercearias, Lda",antónio carvalho ferreira carlos - armazém de mercearias,0.33
"António Filipe Neto, Limitada","antónio filipe neto, limitada",0.38
António Lopes Teixeira - Fabrico de Portas e Janelas Em Meta...,antónio lopes teixeira - fabrico de portas e janelas em meta,0.40
"António M.S. Cruz - Material de Laboratório, Lda",antónio m.s. cruz - material de laboratório,0.47
"António Pacheco Silva, Unipessoal Lda","antónio pacheco silva, unipessoal",0.34
António Pessoa Lopes Lda,antónio pessoa lopes,0.57
António Saavedra Pinto Neto E Maria Vila Fernandes,antónio saavedra pinto neto e maria vila fernandes,0.40
António Simões & Simões Lda,antónio simões & simões,0.36
António Teixeira Lopes & Filhos Lda,antónio teixeira lopes & filhos,0.59
"António Tinoco, Unipessoal Lda","antónio tinoco, unipessoal",0.53
"António Venceslau, Limitada","antónio venceslau, limitada",0.49
Ануфриева Анна Олеговна,anufrieva anna olegovna,0.24
Ануфрович Татьяна Владимировна,anufrovič tatьяna vladimirovna,0.60
Anvois,anvois,0.22
"Anythink, Lda",anythink,0.43
Аншукова Ирина Юрьевна,anšukova irina юrьevna,0.27
"АО ""АРТИС-ДЕТСКОЕ ПИТАНИЕ""",ao artis-detskoe pitanie,0.22
"АО ""БАШЗООВЕТСНАБ""",ao bašzoovetsnab,0.40
"АО ""БТК ГРУПП""",ao btk grupp,0.36
"АО ""БШФ""",ao bšf,0.44
"АО ""ЦМТ АНАЛИТИКА""",ao cmt analitika,0.27
"АО ""ДЕАЛМЕД""",ao dealmed,0.38
